,subjectId,duration,room,date,reasonsString,score,reasonsList,category,measure
7,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con dolor de cuello,2,['Con dolor de cuello'],Estado físico,
7,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Eufórico/a,5,['Eufórico/a'],Estado anímico,
7,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poco práctico,1,['Poco práctico'],Temario,
7,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Dinamismo,5,['Dinamismo'],Docente,
7,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Demasiado ruido,1,['Demasiado ruido'],Ambiente,noise
8,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Con dolor de espalda,1,['Con dolor de espalda'],Estado físico,
8,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Estresado/a,2,['Estresado/a'],Estado anímico,
8,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Repetitivo,1,['Repetitivo'],Temario,
8,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Poca cooperación,3,['Poca cooperación'],Docente,
8,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Temperatura perfecta,3,['Temperatura perfecta'],Ambiente,
9,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
9,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Eufórico/a,5,['Eufórico/a'],Estado anímico,
9,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Interesante,4,['Interesante'],Temario,
9,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poco dinamismo,2,['Poco dinamismo'],Docente,
9,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Demasiado ruido,3,['Demasiado ruido'],Ambiente,noise
10,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
10,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Estresado/a,3,['Estresado/a'],Estado anímico,
10,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Material limitado,1,['Material limitado'],Temario,
10,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Explicaciones aburridas,1,['Explicaciones aburridas'],Docente,
10,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Demasiado calor,1,['Demasiado calor'],Ambiente,temperature
11,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Enfermo/a,3,['Enfermo/a'],Estado físico,
11,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Motivado/a,4,['Motivado/a'],Estado anímico,
11,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Material adecuado,5,['Material adecuado'],Temario,
11,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Poca creatividad,1,['Poca creatividad'],Docente,
11,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
12,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Normal,5,['Normal'],Estado físico,
12,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Normal,5,['Normal'],Estado anímico,
12,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Poco práctico,3,['Poco práctico'],Temario,
12,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Buena organización,4,['Buena organización'],Docente,
12,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
13,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Agotado/a,2,['Agotado/a'],Estado físico,
13,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Agobiado/a,2,['Agobiado/a'],Estado anímico,
13,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Temario bien estructurado,5,['Temario bien estructurado'],Temario,
13,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poca creatividad,2,['Poca creatividad'],Docente,
13,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Demasiado calor,3,['Demasiado calor'],Ambiente,temperature
14,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Con dolor de cuello,2,['Con dolor de cuello'],Estado físico,
14,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Normal,5,['Normal'],Estado anímico,
14,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
14,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Buena organización,5,['Buena organización'],Docente,
14,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Iluminación correcta,4,['Iluminación correcta'],Ambiente,luminosity
15,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Enfermo/a,3,['Enfermo/a'],Estado físico,
15,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Contento/a,5,['Contento/a'],Estado anímico,
15,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
15,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poca creatividad,2,['Poca creatividad'],Docente,
15,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Demasiado calor,2,['Demasiado calor'],Ambiente,temperature
16,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Enfermo/a,3,['Enfermo/a'],Estado físico,
16,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Agobiado/a,1,['Agobiado/a'],Estado anímico,
16,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poco práctico,1,['Poco práctico'],Temario,
16,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poca creatividad,1,['Poca creatividad'],Docente,
16,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Iluminación correcta,4,['Iluminación correcta'],Ambiente,luminosity
17,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Agotado/a,1,['Agotado/a'],Estado físico,
17,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Normal,3,['Normal'],Estado anímico,
17,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Material adecuado,4,['Material adecuado'],Temario,
17,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Explicaciones aburridas,2,['Explicaciones aburridas'],Docente,
17,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Demasiado frío,1,['Demasiado frío'],Ambiente,temperature
18,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
18,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Triste,2,['Triste'],Estado anímico,
18,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Repetitivo,1,['Repetitivo'],Temario,
18,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poca paciencia,1,['Poca paciencia'],Docente,
18,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Temperatura perfecta,5,['Temperatura perfecta'],Ambiente,
19,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Con dolor de cuello,1,['Con dolor de cuello'],Estado físico,
19,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Aburrido/a,3,['Aburrido/a'],Estado anímico,
19,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Repetitivo,2,['Repetitivo'],Temario,
19,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Poca cooperación,3,['Poca cooperación'],Docente,
19,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Ambiente agradable,4,['Ambiente agradable'],Ambiente,co2
20,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con hambre o sed,2,['Con hambre o sed'],Estado físico,
20,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Aburrido/a,3,['Aburrido/a'],Estado anímico,
20,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Material adecuado,4,['Material adecuado'],Temario,
20,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Explicaciones aburridas,1,['Explicaciones aburridas'],Docente,
20,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Temperatura perfecta,4,['Temperatura perfecta'],Ambiente,
21,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Con hambre o sed,2,['Con hambre o sed'],Estado físico,
21,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Con ansiedad,2,['Con ansiedad'],Estado anímico,
21,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Material adecuado,5,['Material adecuado'],Temario,
21,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Creatividad,5,['Creatividad'],Docente,
21,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
22,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Normal,4,['Normal'],Estado físico,
22,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Normal,4,['Normal'],Estado anímico,
22,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Temario denso,2,['Temario denso'],Temario,
22,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poca creatividad,2,['Poca creatividad'],Docente,
22,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Demasiado ruido,2,['Demasiado ruido'],Ambiente,noise
23,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Normal,4,['Normal'],Estado físico,
23,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Aburrido/a,3,['Aburrido/a'],Estado anímico,
23,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Muy práctico,5,['Muy práctico'],Temario,
23,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Paciencia,4,['Paciencia'],Docente,
23,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Sin ruido,5,['Sin ruido'],Ambiente,noise
24,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Normal,5,['Normal'],Estado físico,
24,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Normal,3,['Normal'],Estado anímico,
24,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poco práctico,1,['Poco práctico'],Temario,
24,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Explicaciones aburridas,2,['Explicaciones aburridas'],Docente,
24,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
25,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Enfermo/a,3,['Enfermo/a'],Estado físico,
25,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Contento/a,5,['Contento/a'],Estado anímico,
25,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Muy práctico,5,['Muy práctico'],Temario,
25,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Poca creatividad,2,['Poca creatividad'],Docente,
25,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Ambiente denso,1,['Ambiente denso'],Ambiente,co2
26,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Con hambre o sed,1,['Con hambre o sed'],Estado físico,
26,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Normal,4,['Normal'],Estado anímico,
26,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Interesante,4,['Interesante'],Temario,
26,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Dinamismo,4,['Dinamismo'],Docente,
26,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Demasiado calor,1,['Demasiado calor'],Ambiente,temperature
27,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Agotado/a,2,['Agotado/a'],Estado físico,
27,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Motivado/a,5,['Motivado/a'],Estado anímico,
27,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Temario denso,3,['Temario denso'],Temario,
27,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Explicaciones aburridas,2,['Explicaciones aburridas'],Docente,
27,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
28,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Agotado/a,1,['Agotado/a'],Estado físico,
28,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Normal,4,['Normal'],Estado anímico,
28,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Material adecuado,5,['Material adecuado'],Temario,
28,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poco dinamismo,1,['Poco dinamismo'],Docente,
28,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Ambiente agradable,4,['Ambiente agradable'],Ambiente,co2
29,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
29,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Triste,3,['Triste'],Estado anímico,
29,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Temario bien estructurado,4,['Temario bien estructurado'],Temario,
29,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Buena actitud,5,['Buena actitud'],Docente,
29,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Demasiado frío,3,['Demasiado frío'],Ambiente,temperature
30,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
30,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Contento/a,3,['Contento/a'],Estado anímico,
30,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Repetitivo,2,['Repetitivo'],Temario,
30,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Creatividad,5,['Creatividad'],Docente,
30,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Ambiente agradable,4,['Ambiente agradable'],Ambiente,co2
31,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Enérgico/a,4,['Enérgico/a'],Estado físico,
31,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Agobiado/a,1,['Agobiado/a'],Estado anímico,
31,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
31,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Creatividad,3,['Creatividad'],Docente,
31,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Temperatura perfecta,3,['Temperatura perfecta'],Ambiente,
32,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Agotado/a,3,['Agotado/a'],Estado físico,
32,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Eufórico/a,4,['Eufórico/a'],Estado anímico,
32,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Temario bien estructurado,4,['Temario bien estructurado'],Temario,
32,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Dinamismo,5,['Dinamismo'],Docente,
32,Sistemas Basados en Computador,2,1001,2022-03-01 22:10:00+00:00,Demasiado frío,2,['Demasiado frío'],Ambiente,temperature
33,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Enfermo/a,3,['Enfermo/a'],Estado físico,
33,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Cansado/a,2,['Cansado/a'],Estado anímico,
33,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Material adecuado,5,['Material adecuado'],Temario,
33,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poca paciencia,2,['Poca paciencia'],Docente,
33,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Iluminación correcta,5,['Iluminación correcta'],Ambiente,luminosity
34,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con hambre o sed,2,['Con hambre o sed'],Estado físico,
34,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Cansado/a,2,['Cansado/a'],Estado anímico,
34,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Interesante,5,['Interesante'],Temario,
34,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Buena organización,5,['Buena organización'],Docente,
34,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Ambiente agradable,5,['Ambiente agradable'],Ambiente,co2
35,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Con dolor de cabeza,2,['Con dolor de cabeza'],Estado físico,
35,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Agobiado/a,1,['Agobiado/a'],Estado anímico,
35,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Temario denso,1,['Temario denso'],Temario,
35,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Mala organización,1,['Mala organización'],Docente,
35,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Sin ruido,3,['Sin ruido'],Ambiente,noise
36,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con dolor de espalda,1,['Con dolor de espalda'],Estado físico,
36,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Estresado/a,2,['Estresado/a'],Estado anímico,
36,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Temario bien estructurado,5,['Temario bien estructurado'],Temario,
36,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Poca paciencia,2,['Poca paciencia'],Docente,
36,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Demasiado frío,3,['Demasiado frío'],Ambiente,temperature
37,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Con dolor de cuello,3,['Con dolor de cuello'],Estado físico,
37,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Motivado/a,4,['Motivado/a'],Estado anímico,
37,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Repetitivo,2,['Repetitivo'],Temario,
37,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Explicaciones aburridas,1,['Explicaciones aburridas'],Docente,
37,Sistemas Basados en Computador,2,3302,2022-03-01 22:10:00+00:00,Demasiado calor,2,['Demasiado calor'],Ambiente,temperature
38,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Agotado/a,1,['Agotado/a'],Estado físico,
38,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Triste,1,['Triste'],Estado anímico,
38,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Material adecuado,5,['Material adecuado'],Temario,
38,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Explicaciones entretenidas,5,['Explicaciones entretenidas'],Docente,
38,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Ambiente denso,1,['Ambiente denso'],Ambiente,co2
39,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Con dolor de espalda,2,['Con dolor de espalda'],Estado físico,
39,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Contento/a,5,['Contento/a'],Estado anímico,
39,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Repetitivo,1,['Repetitivo'],Temario,
39,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Paciencia,3,['Paciencia'],Docente,
39,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Ambiente denso,2,['Ambiente denso'],Ambiente,co2
40,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
40,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Normal,5,['Normal'],Estado anímico,
40,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Temario bien estructurado,5,['Temario bien estructurado'],Temario,
40,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Poca paciencia,1,['Poca paciencia'],Docente,
40,Sistemas Basados en Computador,2,CIC-3,2022-03-01 22:10:00+00:00,Ambiente denso,1,['Ambiente denso'],Ambiente,co2
41,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Enérgico/a,5,['Enérgico/a'],Estado físico,
41,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Triste,3,['Triste'],Estado anímico,
41,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Material limitado,1,['Material limitado'],Temario,
41,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Buena organización,4,['Buena organización'],Docente,
41,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Iluminación correcta,4,['Iluminación correcta'],Ambiente,luminosity
42,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Normal,5,['Normal'],Estado físico,
42,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Cansado/a,1,['Cansado/a'],Estado anímico,
42,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Temario bien estructurado,3,['Temario bien estructurado'],Temario,
42,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Creatividad,5,['Creatividad'],Docente,
42,Sistemas Basados en Computador,2,3104,2022-03-01 22:10:00+00:00,Sin ruido,4,['Sin ruido'],Ambiente,noise
43,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Con dolor de cabeza,3,['Con dolor de cabeza'],Estado físico,
43,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Estresado/a,2,['Estresado/a'],Estado anímico,
43,Sistemas Basados en Computador,2,3203,2022-03-01 22:10:00+00:00,Material limitado,2,['Material limitado'],Temario,
