"","type","id","subjectId","date","duration","room","reasonsString","category","score","reasonsList","timestamp"
49,"feeback","-1102503771428072668","Seguridad de Sistemas y Redes","2022-05-05 23:55:35.826950+00:00",2,"3302","Iluminación correcta","El ambiente ha sido bueno",5,"['Iluminación correcta']",1651794935.82695
50,"feeback","-1122168571898158770","Sistemas Empotrados","2022-04-29 23:54:31.336129+00:00",2,"1001","Con hambre o sed","Mi estado físico ha sido bueno",1,"['Con hambre o sed']",1651276471.336129
51,"feeback","-1122168571898158770","Sistemas Empotrados","2022-04-29 23:54:31.336129+00:00",2,"1001","Contento/a","Mi estado anímico ha sido bueno",5,"['Contento/a']",1651276471.336129
52,"feeback","-1122168571898158770","Sistemas Empotrados","2022-04-29 23:54:31.336129+00:00",2,"1001","Material limitado","El temario impartido ha sido bueno",3,"['Material limitado']",1651276471.336129
53,"feeback","-1122168571898158770","Sistemas Empotrados","2022-04-29 23:54:31.336129+00:00",2,"1001","Poco dinamismo","La mayor del docente ha sido buena",3,"['Poco dinamismo']",1651276471.336129
54,"feeback","-1122168571898158770","Sistemas Empotrados","2022-04-29 23:54:31.336129+00:00",2,"1001","Poca luz","El ambiente ha sido bueno",1,"['Poca luz']",1651276471.336129
55,"feeback","-1127008382421956915","Sistemas Empotrados","2022-04-26 23:55:33.512373+00:00",2,"3203","Enérgico/a","Mi estado físico ha sido bueno",5,"['Enérgico/a']",1651017333.512373
56,"feeback","-1127008382421956915","Sistemas Empotrados","2022-04-26 23:55:33.512373+00:00",2,"3203","Motivado/a","Mi estado anímico ha sido bueno",3,"['Motivado/a']",1651017333.512373
57,"feeback","-1127008382421956915","Sistemas Empotrados","2022-04-26 23:55:33.512373+00:00",2,"3203","Muy práctico","El temario impartido ha sido bueno",4,"['Muy práctico']",1651017333.512373
58,"feeback","-1127008382421956915","Sistemas Empotrados","2022-04-26 23:55:33.512373+00:00",2,"3203","Explicaciones entretenidas","La mayor del docente ha sido buena",3,"['Explicaciones entretenidas']",1651017333.512373
59,"feeback","-1127008382421956915","Sistemas Empotrados","2022-04-26 23:55:33.512373+00:00",2,"3203","Ambiente agradable","El ambiente ha sido bueno",3,"['Ambiente agradable']",1651017333.512373
60,"feeback","-1140446009901475041","Inteligencia Artificial","2022-05-04 23:55:21.036882+00:00",2,"3203","Con dolor de cuello","Mi estado físico ha sido bueno",2,"['Con dolor de cuello']",1651708521.036882
61,"feeback","-1140446009901475041","Inteligencia Artificial","2022-05-04 23:55:21.036882+00:00",2,"3203","Cansado/a","Mi estado anímico ha sido bueno",2,"['Cansado/a']",1651708521.036882
62,"feeback","-1140446009901475041","Inteligencia Artificial","2022-05-04 23:55:21.036882+00:00",2,"3203","Material limitado","El temario impartido ha sido bueno",1,"['Material limitado']",1651708521.036882
63,"feeback","-1140446009901475041","Inteligencia Artificial","2022-05-04 23:55:21.036882+00:00",2,"3203","Poco dinamismo","La mayor del docente ha sido buena",1,"['Poco dinamismo']",1651708521.036882
64,"feeback","-1140446009901475041","Inteligencia Artificial","2022-05-04 23:55:21.036882+00:00",2,"3203","Demasiado calor","El ambiente ha sido bueno",2,"['Demasiado calor']",1651708521.036882
65,"feeback","-1145184852709986831","Fundamentos de Economía y Empresa","2022-05-03 23:54:30.253880+00:00",2,"3302","Normal","Mi estado físico ha sido bueno",4,"['Normal']",1651622070.25388
66,"feeback","-1145184852709986831","Fundamentos de Economía y Empresa","2022-05-03 23:54:30.253880+00:00",2,"3302","Motivado/a","Mi estado anímico ha sido bueno",4,"['Motivado/a']",1651622070.25388
67,"feeback","-1145184852709986831","Fundamentos de Economía y Empresa","2022-05-03 23:54:30.253880+00:00",2,"3302","Temario denso","El temario impartido ha sido bueno",1,"['Temario denso']",1651622070.25388
68,"feeback","-1145184852709986831","Fundamentos de Economía y Empresa","2022-05-03 23:54:30.253880+00:00",2,"3302","Buena actitud","La mayor del docente ha sido buena",3,"['Buena actitud']",1651622070.25388
69,"feeback","-1145184852709986831","Fundamentos de Economía y Empresa","2022-05-03 23:54:30.253880+00:00",2,"3302","Iluminación correcta","El ambiente ha sido bueno",5,"['Iluminación correcta']",1651622070.25388
70,"feeback","-1147460908347664426","Sistemas de Tiempo Real","2022-05-03 23:54:49.489853+00:00",2,"3302","Enérgico/a","Mi estado físico ha sido bueno",4,"['Enérgico/a']",1651622089.489853
71,"feeback","-1147460908347664426","Sistemas de Tiempo Real","2022-05-03 23:54:49.489853+00:00",2,"3302","Eufórico/a","Mi estado anímico ha sido bueno",4,"['Eufórico/a']",1651622089.489853
72,"feeback","-1147460908347664426","Sistemas de Tiempo Real","2022-05-03 23:54:49.489853+00:00",2,"3302","Interesante","El temario impartido ha sido bueno",3,"['Interesante']",1651622089.489853
73,"feeback","-1147460908347664426","Sistemas de Tiempo Real","2022-05-03 23:54:49.489853+00:00",2,"3302","Mala organización","La mayor del docente ha sido buena",3,"['Mala organización']",1651622089.489853
74,"feeback","-1147460908347664426","Sistemas de Tiempo Real","2022-05-03 23:54:49.489853+00:00",2,"3302","Demasiado calor","El ambiente ha sido bueno",2,"['Demasiado calor']",1651622089.489853
75,"feeback","-1158885463711106983","Aspectos Legales y Profesionales","2022-05-12 23:55:17.011596+00:00",2,"3203","Agotado/a","Mi estado físico ha sido bueno",2,"['Agotado/a']",1652399717.011596
76,"feeback","-1158885463711106983","Aspectos Legales y Profesionales","2022-05-12 23:55:17.011596+00:00",2,"3203","Contento/a","Mi estado anímico ha sido bueno",4,"['Contento/a']",1652399717.011596
77,"feeback","-1158885463711106983","Aspectos Legales y Profesionales","2022-05-12 23:55:17.011596+00:00",2,"3203","Temario bien estructurado","El temario impartido ha sido bueno",5,"['Temario bien estructurado']",1652399717.011596
78,"feeback","-1158885463711106983","Aspectos Legales y Profesionales","2022-05-12 23:55:17.011596+00:00",2,"3203","Poca paciencia","La mayor del docente ha sido buena",1,"['Poca paciencia']",1652399717.011596
79,"feeback","-1158885463711106983","Aspectos Legales y Profesionales","2022-05-12 23:55:17.011596+00:00",2,"3203","Ambiente agradable","El ambiente ha sido bueno",3,"['Ambiente agradable']",1652399717.011596
80,"feeback","-1163538564698544264","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"CIC-3","Enfermo/a","Mi estado físico ha sido bueno",1,"['Enfermo/a']",1650844509.461058
81,"feeback","-1163538564698544264","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"CIC-3","Normal","Mi estado anímico ha sido bueno",4,"['Normal']",1650844509.461058
82,"feeback","-1163538564698544264","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"CIC-3","Poco práctico","El temario impartido ha sido bueno",1,"['Poco práctico']",1650844509.461058
83,"feeback","-1163538564698544264","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"CIC-3","Explicaciones aburridas","La mayor del docente ha sido buena",3,"['Explicaciones aburridas']",1650844509.461058
84,"feeback","-1163538564698544264","Sistemas Basados en Computador","2022-04-24 23:55:09.461058+00:00",2,"CIC-3","Iluminación correcta","El ambiente ha sido bueno",4,"['Iluminación correcta']",1650844509.461058
85,"feeback","-1194805662810181766","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Con dolor de cabeza","Mi estado físico ha sido bueno",1,"['Con dolor de cabeza']",1652140501.346539
86,"feeback","-1194805662810181766","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Contento/a","Mi estado anímico ha sido bueno",4,"['Contento/a']",1652140501.346539
87,"feeback","-1194805662810181766","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Interesante","El temario impartido ha sido bueno",5,"['Interesante']",1652140501.346539
88,"feeback","-1194805662810181766","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Buena organización","La mayor del docente ha sido buena",4,"['Buena organización']",1652140501.346539
89,"feeback","-1194805662810181766","Programación","2022-05-09 23:55:01.346539+00:00",2,"CIC-4","Demasiado frío","El ambiente ha sido bueno",1,"['Demasiado frío']",1652140501.346539
90,"feeback","-1195092164523376025","Sistemas Distribuidos","2021-09-01 17:42:02.754346+00:00",2,"1001","Normal","Mi estado físico ha sido bueno",3,"['Normal']",1630518122.754346
91,"feeback","-1195092164523376025","Sistemas Distribuidos","2021-09-01 17:42:02.754346+00:00",2,"1001","Cansado/a","Mi estado anímico ha sido bueno",2,"['Cansado/a']",1630518122.754346
92,"feeback","-1195092164523376025","Sistemas Distribuidos","2021-09-01 17:42:02.754346+00:00",2,"1001","Repetitivo","El temario impartido ha sido bueno",1,"['Repetitivo']",1630518122.754346
93,"feeback","-1195092164523376025","Sistemas Distribuidos","2021-09-01 17:42:02.754346+00:00",2,"1001","Poca cooperación","La mayor del docente ha sido buena",2,"['Poca cooperación']",1630518122.754346
94,"feeback","-1195092164523376025","Sistemas Distribuidos","2021-09-01 17:42:02.754346+00:00",2,"1001","Demasiado frío","El ambiente ha sido bueno",2,"['Demasiado frío']",1630518122.754346
95,"feeback","-1203278758031439843","Sistemas de Tiempo Real","2022-04-24 23:54:49.135028+00:00",2,"3104","Con dolor de cabeza","Mi estado físico ha sido bueno",1,"['Con dolor de cabeza']",1650844489.135028
96,"feeback","-1203278758031439843","Sistemas de Tiempo Real","2022-04-24 23:54:49.135028+00:00",2,"3104","Contento/a","Mi estado anímico ha sido bueno",3,"['Contento/a']",1650844489.135028
97,"feeback","-1203278758031439843","Sistemas de Tiempo Real","2022-04-24 23:54:49.135028+00:00",2,"3104","Repetitivo","El temario impartido ha sido bueno",2,"['Repetitivo']",1650844489.135028
98,"feeback","-1203278758031439843","Sistemas de Tiempo Real","2022-04-24 23:54:49.135028+00:00",2,"3104","Poca creatividad","La mayor del docente ha sido buena",2,"['Poca creatividad']",1650844489.135028
99,"feeback","-1203278758031439843","Sistemas de Tiempo Real","2022-04-24 23:54:49.135028+00:00",2,"3104","Demasiado frío","El ambiente ha sido bueno",1,"['Demasiado frío']",1650844489.135028
100,"feeback","-1207104502893853661","Seguridad de Sistemas y Redes","2022-05-03 23:54:20.627160+00:00",2,"3104","Enfermo/a","Mi estado físico ha sido bueno",1,"['Enfermo/a']",1651622060.62716
101,"feeback","-1207104502893853661","Seguridad de Sistemas y Redes","2022-05-03 23:54:20.627160+00:00",2,"3104","Estresado/a","Mi estado anímico ha sido bueno",1,"['Estresado/a']",1651622060.62716
102,"feeback","-1207104502893853661","Seguridad de Sistemas y Redes","2022-05-03 23:54:20.627160+00:00",2,"3104","Material adecuado","El temario impartido ha sido bueno",5,"['Material adecuado']",1651622060.62716
103,"feeback","-1207104502893853661","Seguridad de Sistemas y Redes","2022-05-03 23:54:20.627160+00:00",2,"3104","Explicaciones aburridas","La mayor del docente ha sido buena",2,"['Explicaciones aburridas']",1651622060.62716
104,"feeback","-1207104502893853661","Seguridad de Sistemas y Redes","2022-05-03 23:54:20.627160+00:00",2,"3104","Demasiado calor","El ambiente ha sido bueno",2,"['Demasiado calor']",1651622060.62716
105,"feeback","-1235103509406449297","Sistemas de Tiempo Real","2022-05-06 23:54:47.859808+00:00",2,"CIC-4","Enfermo/a","Mi estado físico ha sido bueno",1,"['Enfermo/a']",1651881287.859808
106,"feeback","-1235103509406449297","Sistemas de Tiempo Real","2022-05-06 23:54:47.859808+00:00",2,"CIC-4","Cansado/a","Mi estado anímico ha sido bueno",1,"['Cansado/a']",1651881287.859808
107,"feeback","-1235103509406449297","Sistemas de Tiempo Real","2022-05-06 23:54:47.859808+00:00",2,"CIC-4","Temario bien estructurado","El temario impartido ha sido bueno",5,"['Temario bien estructurado']",1651881287.859808
108,"feeback","-1235103509406449297","Sistemas de Tiempo Real","2022-05-06 23:54:47.859808+00:00",2,"CIC-4","Buena actitud","La mayor del docente ha sido buena",5,"['Buena actitud']",1651881287.859808
109,"feeback","-1235103509406449297","Sistemas de Tiempo Real","2022-05-06 23:54:47.859808+00:00",2,"CIC-4","Iluminación correcta","El ambiente ha sido bueno",5,"['Iluminación correcta']",1651881287.859808
110,"feeback","-1251887471801450076","Programación de Hardware Reconfigurable","2022-05-11 23:55:11.894611+00:00",2,"3301","Con dolor de cabeza","Mi estado físico ha sido bueno",2,"['Con dolor de cabeza']",1652313311.894611
111,"feeback","-1251887471801450076","Programación de Hardware Reconfigurable","2022-05-11 23:55:11.894611+00:00",2,"3301","Motivado/a","Mi estado anímico ha sido bueno",4,"['Motivado/a']",1652313311.894611
112,"feeback","-1251887471801450076","Programación de Hardware Reconfigurable","2022-05-11 23:55:11.894611+00:00",2,"3301","Muy práctico","El temario impartido ha sido bueno",3,"['Muy práctico']",1652313311.894611
113,"feeback","-1251887471801450076","Programación de Hardware Reconfigurable","2022-05-11 23:55:11.894611+00:00",2,"3301","Explicaciones entretenidas","La mayor del docente ha sido buena",3,"['Explicaciones entretenidas']",1652313311.894611
114,"feeback","-1251887471801450076","Programación de Hardware Reconfigurable","2022-05-11 23:55:11.894611+00:00",2,"3301","Sin ruido","El ambiente ha sido bueno",5,"['Sin ruido']",1652313311.894611
115,"feeback","-1257280648330681230","Fundamentos de Economía y Empresa","2021-09-06 17:41:58.106767+00:00",2,"CIC-3","Con dolor de espalda","Mi estado físico ha sido bueno",3,"['Con dolor de espalda']",1630950118.106767
116,"feeback","-1257280648330681230","Fundamentos de Economía y Empresa","2021-09-06 17:41:58.106767+00:00",2,"CIC-3","Agobiado/a","Mi estado anímico ha sido bueno",2,"['Agobiado/a']",1630950118.106767
117,"feeback","-1257280648330681230","Fundamentos de Economía y Empresa","2021-09-06 17:41:58.106767+00:00",2,"CIC-3","Temario bien estructurado","El temario impartido ha sido bueno",4,"['Temario bien estructurado']",1630950118.106767
118,"feeback","-1257280648330681230","Fundamentos de Economía y Empresa","2021-09-06 17:41:58.106767+00:00",2,"CIC-3","Paciencia","La mayor del docente ha sido buena",4,"['Paciencia']",1630950118.106767
119,"feeback","-1257280648330681230","Fundamentos de Economía y Empresa","2021-09-06 17:41:58.106767+00:00",2,"CIC-3","Temperatura perfecta","El ambiente ha sido bueno",4,"['Temperatura perfecta']",1630950118.106767
120,"feeback","-1260941467735314838","Programación","2022-05-12 23:54:35.760253+00:00",2,"3203","Enérgico/a","Mi estado físico ha sido bueno",4,"['Enérgico/a']",1652399675.760253
121,"feeback","-1260941467735314838","Programación","2022-05-12 23:54:35.760253+00:00",2,"3203","Motivado/a","Mi estado anímico ha sido bueno",5,"['Motivado/a']",1652399675.760253
122,"feeback","-1260941467735314838","Programación","2022-05-12 23:54:35.760253+00:00",2,"3203","Temario bien estructurado","El temario impartido ha sido bueno",4,"['Temario bien estructurado']",1652399675.760253
123,"feeback","-1260941467735314838","Programación","2022-05-12 23:54:35.760253+00:00",2,"3203","Poca paciencia","La mayor del docente ha sido buena",2,"['Poca paciencia']",1652399675.760253
124,"feeback","-1260941467735314838","Programación","2022-05-12 23:54:35.760253+00:00",2,"3203","Iluminación correcta","El ambiente ha sido bueno",5,"['Iluminación correcta']",1652399675.760253
125,"feeback","-1265768776350145908","Aspectos Legales y Profesionales","2022-05-03 23:54:49.489853+00:00",2,"1001","Enérgico/a","Mi estado físico ha sido bueno",5,"['Enérgico/a']",1651622089.489853
126,"feeback","-1265768776350145908","Aspectos Legales y Profesionales","2022-05-03 23:54:49.489853+00:00",2,"1001","Agobiado/a","Mi estado anímico ha sido bueno",1,"['Agobiado/a']",1651622089.489853
127,"feeback","-1265768776350145908","Aspectos Legales y Profesionales","2022-05-03 23:54:49.489853+00:00",2,"1001","Muy práctico","El temario impartido ha sido bueno",4,"['Muy práctico']",1651622089.489853
128,"feeback","-1265768776350145908","Aspectos Legales y Profesionales","2022-05-03 23:54:49.489853+00:00",2,"1001","Explicaciones aburridas","La mayor del docente ha sido buena",2,"['Explicaciones aburridas']",1651622089.489853
129,"feeback","-1265768776350145908","Aspectos Legales y Profesionales","2022-05-03 23:54:49.489853+00:00",2,"1001","Ambiente denso","El ambiente ha sido bueno",1,"['Ambiente denso']",1651622089.489853
130,"feeback","-1266270050745970659","Sistemas Distribuidos","2021-09-06 17:41:58.106767+00:00",2,"CIC-4","Con dolor de espalda","Mi estado físico ha sido bueno",2,"['Con dolor de espalda']",1630950118.106767
131,"feeback","-1266270050745970659","Sistemas Distribuidos","2021-09-06 17:41:58.106767+00:00",2,"CIC-4","Agobiado/a","Mi estado anímico ha sido bueno",1,"['Agobiado/a']",1630950118.106767
132,"feeback","-1266270050745970659","Sistemas Distribuidos","2021-09-06 17:41:58.106767+00:00",2,"CIC-4","Temario bien estructurado","El temario impartido ha sido bueno",4,"['Temario bien estructurado']",1630950118.106767
133,"feeback","-1266270050745970659","Sistemas Distribuidos","2021-09-06 17:41:58.106767+00:00",2,"CIC-4","Explicaciones entretenidas","La mayor del docente ha sido buena",3,"['Explicaciones entretenidas']",1630950118.106767
134,"feeback","-1266270050745970659","Sistemas Distribuidos","2021-09-06 17:41:58.106767+00:00",2,"CIC-4","Ambiente denso","El ambiente ha sido bueno",3,"['Ambiente denso']",1630950118.106767
135,"feeback","-1289094228270323080","Sistemas Empotrados","2022-04-23 23:54:41.605722+00:00",2,"3302","Normal","Mi estado físico ha sido bueno",4,"['Normal']",1650758081.605722
136,"feeback","-1289094228270323080","Sistemas Empotrados","2022-04-23 23:54:41.605722+00:00",2,"3302","Con ansiedad","Mi estado anímico ha sido bueno",2,"['Con ansiedad']",1650758081.605722
137,"feeback","-1289094228270323080","Sistemas Empotrados","2022-04-23 23:54:41.605722+00:00",2,"3302","Interesante","El temario impartido ha sido bueno",4,"['Interesante']",1650758081.605722
138,"feeback","-1289094228270323080","Sistemas Empotrados","2022-04-23 23:54:41.605722+00:00",2,"3302","Poca creatividad","La mayor del docente ha sido buena",3,"['Poca creatividad']",1650758081.605722
139,"feeback","-1289094228270323080","Sistemas Empotrados","2022-04-23 23:54:41.605722+00:00",2,"3302","Iluminación correcta","El ambiente ha sido bueno",5,"['Iluminación correcta']",1650758081.605722
